id_vacante,candidato_erroneo,instancia
573,Amber Hamilton,motor_emparejamiento_3
576,Daniel Glenn,motor_emparejamiento_2
575,Don Octavio Mesa,motor_emparejamiento_1
575,Michael Roberson,motor_emparejamiento_2
577,Alexander Morris,motor_emparejamiento_2
575,Jennifer Hatfield,motor_emparejamiento_3
585,Donald Ford,motor_emparejamiento_3
601,Kayla Lowe,motor_emparejamiento_2
597,Crystal Osborn,motor_emparejamiento_1
602,Terry Hanna,motor_emparejamiento_3
597,Mario Martinez,motor_emparejamiento_2
597,Don Octavio Mesa,motor_emparejamiento_3
603,Lisa Reynolds,motor_emparejamiento_1
609,Joann Espinoza,motor_emparejamiento_2
614,Alexander Butler,motor_emparejamiento_1
619,Morgan Mendoza,motor_emparejamiento_1
618,Claire Jackson,motor_emparejamiento_1
622,Justin Braun,motor_emparejamiento_3
626,Charles Lopez,motor_emparejamiento_3
634,Michael Jackson,motor_emparejamiento_3
635,Anthony Anderson,motor_emparejamiento_3
638,Alejandro Campbell,motor_emparejamiento_1
638,Don Octavio Mesa,motor_emparejamiento_2
638,James Johnson,motor_emparejamiento_3
639,Gordon Sullivan,motor_emparejamiento_1
639,William Tran,motor_emparejamiento_2
639,Don Octavio Mesa,motor_emparejamiento_3
645,Lori Freeman,motor_emparejamiento_2
644,Don Octavio Mesa,motor_emparejamiento_1
644,Thomas Mercer,motor_emparejamiento_2
644,David Jackson,motor_emparejamiento_3
648,Richard Brown,motor_emparejamiento_3
653,Colleen Hill,motor_emparejamiento_1
655,Jamie Mccullough,motor_emparejamiento_3
659,Don Octavio Mesa,motor_emparejamiento_1
659,Timothy Harris,motor_emparejamiento_2
660,William Davis,motor_emparejamiento_3
661,Jeremy Johnson,motor_emparejamiento_2
659,Johnathan Carter,motor_emparejamiento_3
667,Heather Thompson,motor_emparejamiento_3
670,Brenda Olson,motor_emparejamiento_1
669,Kevin Patel,motor_emparejamiento_1
673,Kyle Hogan DVM,motor_emparejamiento_2
674,Don Octavio Mesa,motor_emparejamiento_1
675,Jacob Conway,motor_emparejamiento_2
674,Barbara Mcclain,motor_emparejamiento_2
674,James James,motor_emparejamiento_3
676,Joshua Mack,motor_emparejamiento_1
677,Scott Glover,motor_emparejamiento_2
679,Amanda Jones,motor_emparejamiento_1
687,Joseph Campbell,motor_emparejamiento_3
689,Melissa Hudson,motor_emparejamiento_2
691,Michelle Schultz,motor_emparejamiento_3
705,Megan Barton,motor_emparejamiento_1
720,Samantha Butler,motor_emparejamiento_1
724,Drew Weber,motor_emparejamiento_1
731,Danny Jackson,motor_emparejamiento_1
733,Melody West,motor_emparejamiento_1
734,Kelsey Allen,motor_emparejamiento_3
735,Roger James,motor_emparejamiento_3
738,Don Octavio Mesa,motor_emparejamiento_1
741,Jacob Holloway,motor_emparejamiento_1
738,Stephanie Dennis,motor_emparejamiento_2
738,Robert Brown,motor_emparejamiento_3
754,Timothy Chapman,motor_emparejamiento_1
755,Julie Curry,motor_emparejamiento_1
758,Aaron Walker,motor_emparejamiento_3
763,Sarah George,motor_emparejamiento_2
765,Brittany Forbes,motor_emparejamiento_2
772,Linda Farrell,motor_emparejamiento_2
777,John Hall,motor_emparejamiento_2
785,Phillip Thomas II,motor_emparejamiento_3
793,Scott Ramirez,motor_emparejamiento_3
794,Don Octavio Mesa,motor_emparejamiento_1
794,Shelly Martinez,motor_emparejamiento_2
799,Nicole Barker,motor_emparejamiento_3
794,Michael Gaines,motor_emparejamiento_3
800,Chase Ochoa,motor_emparejamiento_3
803,Sarah Green,motor_emparejamiento_2
805,Sarah Tanner,motor_emparejamiento_3
804,Katherine Humphrey,motor_emparejamiento_2
809,Rhonda Adams,motor_emparejamiento_2
810,Christine Anderson,motor_emparejamiento_2
817,Nicole White,motor_emparejamiento_1
819,Vanessa Waller,motor_emparejamiento_3
822,Alicia Mitchell,motor_emparejamiento_1
822,Catherine Rios,motor_emparejamiento_2
822,Don Octavio Mesa,motor_emparejamiento_3
834,Angela Mccarthy,motor_emparejamiento_1
834,Don Octavio Mesa,motor_emparejamiento_2
834,Brian York,motor_emparejamiento_3
837,Theresa Daniels,motor_emparejamiento_1
837,Vicki Patton,motor_emparejamiento_2
840,Roger Warner,motor_emparejamiento_2
837,Don Octavio Mesa,motor_emparejamiento_3
842,Eric Smith,motor_emparejamiento_2
843,Shannon Mendoza,motor_emparejamiento_1
849,Willie Valdez,motor_emparejamiento_1
851,David Weber,motor_emparejamiento_1
858,Jeffery Fischer,motor_emparejamiento_3
855,Brenda Henderson,motor_emparejamiento_3
859,Kevin Flores,motor_emparejamiento_3
864,William Anderson,motor_emparejamiento_3
867,Danielle Wong,motor_emparejamiento_2
868,Krista Parker,motor_emparejamiento_2
874,Shannon Wilson,motor_emparejamiento_2
876,Shirley Ayala,motor_emparejamiento_3
878,Jonathan Holmes,motor_emparejamiento_2
881,Curtis Luna,motor_emparejamiento_1
883,Justin Cardenas,motor_emparejamiento_2
884,Jeremy Mays,motor_emparejamiento_1
890,Angelica Sullivan,motor_emparejamiento_1
886,Jillian Wiley,motor_emparejamiento_1
881,Matthew Thompson,motor_emparejamiento_2
881,Don Octavio Mesa,motor_emparejamiento_3
896,Curtis Young,motor_emparejamiento_2
893,John Swanson,motor_emparejamiento_1
912,Adam Mills,motor_emparejamiento_2
913,Brent Mccarthy,motor_emparejamiento_3
911,Teresa Brown,motor_emparejamiento_1
911,Elizabeth Koch,motor_emparejamiento_2
911,Ricky Wilson,motor_emparejamiento_3
919,Mallory Benson MD,motor_emparejamiento_1
919,Patrick Curry,motor_emparejamiento_2
922,Mario Murphy,motor_emparejamiento_1
919,Don Octavio Mesa,motor_emparejamiento_3
920,Briana Myers,motor_emparejamiento_1
920,Don Octavio Mesa,motor_emparejamiento_2
920,Shaun Kramer,motor_emparejamiento_3
924,Isaac Bennett,motor_emparejamiento_3
923,Don Octavio Mesa,motor_emparejamiento_1
923,Carla Carpenter,motor_emparejamiento_2
923,Tyrone Johnson,motor_emparejamiento_3
928,Matthew Reed,motor_emparejamiento_3
934,Jeremy Horn,motor_emparejamiento_3
936,Courtney Fuller,motor_emparejamiento_1
938,Gina Palmer,motor_emparejamiento_2
942,Michael Rogers,motor_emparejamiento_1
951,Leah Bryan,motor_emparejamiento_1
953,Angel Mckenzie,motor_emparejamiento_3
958,Angela Faulkner,motor_emparejamiento_1
964,Marc Robinson,motor_emparejamiento_2
966,Mr. Benjamin Lane,motor_emparejamiento_3
968,Jonathan Wilson,motor_emparejamiento_1
969,Jane Salas,motor_emparejamiento_2
971,Christopher Newton,motor_emparejamiento_1
973,Shane Browning,motor_emparejamiento_2
974,Angela Allen,motor_emparejamiento_3
982,Don Octavio Mesa,motor_emparejamiento_1
982,Nathan Wright,motor_emparejamiento_2
984,Alicia Reynolds,motor_emparejamiento_1
982,Jillian Turner,motor_emparejamiento_3
985,Catherine Jacobson,motor_emparejamiento_1
986,Melissa Morris,motor_emparejamiento_3
992,Todd Andrade Jr.,motor_emparejamiento_1
995,Timothy Gonzalez,motor_emparejamiento_1
997,Donna Humphrey,motor_emparejamiento_1
